2014-10-19 20:34:25,190 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2014-10-19 20:34:25,244 - INFO - Added job "tick" to job store "default"
2014-10-19 20:34:25,244 - INFO - Scheduler started
2014-10-19 20:34:28,194 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:31 CST)" (scheduled at 2014-10-19 20:34:28.190000+08:00)
2014-10-19 20:34:28,197 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:31 CST)" executed successfully
2014-10-19 20:34:31,194 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:34 CST)" (scheduled at 2014-10-19 20:34:31.190000+08:00)
2014-10-19 20:34:31,197 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:34 CST)" executed successfully
2014-10-19 20:34:34,194 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:37 CST)" (scheduled at 2014-10-19 20:34:34.190000+08:00)
2014-10-19 20:34:34,197 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:37 CST)" executed successfully
2014-10-19 20:34:37,194 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:40 CST)" (scheduled at 2014-10-19 20:34:37.190000+08:00)
2014-10-19 20:34:37,197 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:40 CST)" executed successfully
2014-10-19 20:34:40,194 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:43 CST)" (scheduled at 2014-10-19 20:34:40.190000+08:00)
2014-10-19 20:34:40,198 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:43 CST)" executed successfully
2014-10-19 20:34:43,194 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:43 CST)" (scheduled at 2014-10-19 20:34:43.190000+08:00)
2014-10-19 20:34:43,197 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:43 CST)" executed successfully
2014-10-19 20:34:46,197 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:49 CST)" (scheduled at 2014-10-19 20:34:46.190000+08:00)
2014-10-19 20:34:46,200 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:49 CST)" executed successfully
2014-10-19 20:34:49,194 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:49 CST)" (scheduled at 2014-10-19 20:34:49.190000+08:00)
2014-10-19 20:34:49,196 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:49 CST)" executed successfully
2014-10-19 20:34:52,197 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:55 CST)" (scheduled at 2014-10-19 20:34:52.190000+08:00)
2014-10-19 20:34:52,200 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:55 CST)" executed successfully
2014-10-19 20:34:55,196 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:58 CST)" (scheduled at 2014-10-19 20:34:55.190000+08:00)
2014-10-19 20:34:55,200 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:34:58 CST)" executed successfully
2014-10-19 20:34:58,194 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:01 CST)" (scheduled at 2014-10-19 20:34:58.190000+08:00)
2014-10-19 20:34:58,196 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:01 CST)" executed successfully
2014-10-19 20:35:01,191 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:04 CST)" (scheduled at 2014-10-19 20:35:01.190000+08:00)
2014-10-19 20:35:01,193 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:04 CST)" executed successfully
2014-10-19 20:35:04,191 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:07 CST)" (scheduled at 2014-10-19 20:35:04.190000+08:00)
2014-10-19 20:35:04,194 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:07 CST)" executed successfully
2014-10-19 20:35:07,193 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:10 CST)" (scheduled at 2014-10-19 20:35:07.190000+08:00)
2014-10-19 20:35:07,196 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:10 CST)" executed successfully
2014-10-19 20:35:10,194 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:13 CST)" (scheduled at 2014-10-19 20:35:10.190000+08:00)
2014-10-19 20:35:10,196 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:13 CST)" executed successfully
2014-10-19 20:35:13,193 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:16 CST)" (scheduled at 2014-10-19 20:35:13.190000+08:00)
2014-10-19 20:35:13,196 - INFO - Job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:16 CST)" executed successfully
2014-10-19 20:35:16,194 - INFO - Running job "tick (trigger: interval[0:00:03], next run at: 2014-10-19 20:35:19 CST)" (scheduled at 2014-10-19 20:35:16.190000+08:00)
